rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
Pancreatic cancer%KEGG%hsa05212	Pancreatic cancer	0.322541428505873	0.512638882017843	-1	AKT1,AKT2,AKT3,ARAF,ARHGEF6,BAD,BCL2L1,BRAF,BRCA2,CASP9,CCND1,CDC42,CDK4,CDK6,CDKN2A,CHUK,E2F1,E2F2,E2F3,EGFR,ERBB2,IKBKB,IKBKG,JAK1,KRAS,MAP2K1,MAPK10,MAPK1,MAPK3,MAPK8,MAPK9,NFKB1,PGF,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLD1,RAC1,RAC2,RAC3,RAD51,RAF1,RALA,RALBP1,RALB,RALGDS,RB1,RELA,SMAD2,SMAD3,SMAD4,STAT1,STAT3,TGFA,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TP53,VEGFA,VEGFB,VEGFC
REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:2000514	REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION	0.322638318886256	0.512638882017843	1	ANXA1,CCL19,CD55,CD80,CD86,FOXP3,IL12RB1,IL23A,IRF4,JAK3,LGALS9,MYB,NCKAP1L,NLRP3,PRKCQ,PRKCZ,RARA,RC3H1,SOCS5,TNFSF4,XCL1
COENZYME BIOSYNTHETIC PROCESS%GOBP%GO:0009108	COENZYME BIOSYNTHETIC PROCESS	0.322930112550382	0.512906575997605	-1	ACACA,ACLY,ACOT11,ACOT13,ACOT1,ACOT2,ACOT4,ACOT7,ACOT8,ACOT9,ACSF2,ACSF3,ACSL1,ACSL3,ACSL4,ACSL5,ACSS1,AGK,ATPIF1,COASY,COQ2,COQ3,COQ4,COQ5,COQ6,COQ7,COQ9,DCAKD,DHFR,DLD,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,FASN,FPGS,GCH1,GPHN,HAAO,HSD17B12,LIAS,MAT2A,MAT2B,ME1,MLYCD,MOCS1,MOCS2,MOCS3,MTHFD1,MTHFS,NADSYN1,NDUFA9,NMNAT1,NMNAT2,NMNAT3,PANK1,PANK2,PDHA1,PDHB,PDHX,PDSS1,PDSS2,PDXK,PNPO,PNP,PPCDC,PPCS,PPT1,PPT2,QPRT,SCD,SLC25A16,SLC25A1,SPR,TECR,THEM4,TPK1,UBIAD1
GLUTAMATE SECRETION%GOBP%GO:0014047	GLUTAMATE SECRETION	0.323026692450367	0.512906575997605	1	BZRAP1,CPLX1,GIPC1,GLS2,GLS,PPFIA1,PPFIA3,PPFIA4,RAB3A,SLC1A1,SLC1A3,SLC38A2,SNAP25,STX1A,STXBP1,SYT1,UNC13B,VAMP2
BIOCARTA_SPRY_PATHWAY%MSIGDB_C2%BIOCARTA_SPRY_PATHWAY	BIOCARTA_SPRY_PATHWAY	0.323187329083331	0.512987033063539	-1	CBL,EGFR,GRB2,HRAS,MAP2K1,MAPK1,MAPK3,PTPRB,RAF1,RASA1,SHC1,SOS1,SPRY1,SPRY2,SPRY3,SPRY4,SRC
CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	0.323657391143176	0.513558411456774	1	BATF3,CALM1,CALM2,CALM3,CASP3,CBLB,CDK4,CTLA4,DGKA,E2F1,EGR1,EGR2,EGR3,FASLG,FOSL1,FOS,FOXP3,GATA3,GBP3,IKZF1,IL2RA,IRF4,ITCH,JUNB,JUN,MAF,NFATC1,NFATC2,NFATC3,POU2F1,PPARG,PRKCQ,PTGS2,PTPN1,PTPRK,SLC3A2,TBX21,TNF
PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR4%REACTOME%R-HSA-5654228.1	PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR4	0.324547152760499	0.514795126701029	1	ADCY1,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY9,ADRBK1,AHCYL1,CALM1,CALM2,CALM3,CREB1,FGF18,FGF1,FGF2,FGF9,FGFR4,ITPR1,ITPR2,ITPR3,PDE1A,PDE1B,PLCG1,PRKACA,PRKACB,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCE
ANAPHASE-PROMOTING COMPLEX-DEPENDENT PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0031145	ANAPHASE-PROMOTING COMPLEX-DEPENDENT PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	0.324675167735368	0.514823133067808	-1	ANAPC10,ANAPC11,ANAPC1,ANAPC2,ANAPC4,ANAPC5,ANAPC7,AURKA,AURKB,BTRC,BUB1B,BUB3,CCNB1,CDC16,CDC20,CDC23,CDC26,CDC27,CDK1,CDK2,CUL1,FBXO5,FZR1,MAD2L1,NEK2,PLK1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTTG1,RPS27A,SKP1,SKP2,UBA52,UBB,UBC,UBE2C,UBE2D1,UBE2E1,UBE2S
POSITIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0045737	POSITIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY	0.32491371312368	0.51495370993307	-1	ADAM17,AKT1,CCNC,CCND1,CCND2,CCND3,CCNH,CCNK,CCNL1,CCNL2,CCNT1,CCNT2,CCNY,EGFR,FAM58A,MAPRE3,PDGFB,PIM1,PKD1,PKD2,PSMD10,PSRC1
ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046631	ALPHA-BETA T CELL ACTIVATION	0.324978289827	0.51495370993307	1	ANXA1,ATP7A,BATF,CEBPB,ELF4,EOMES,FOXP1,FOXP3,HLA-E,IL6,IRF4,ITK,LEF1,LY9,PTGER4,RORA,RORC,RSAD2,SLAMF6,STOML2,TNFSF4,ZFPM1
PYRUVATE METABOLISM AND CITRIC ACID (TCA) CYCLE%REACTOME DATABASE ID RELEASE 55%71406	PYRUVATE METABOLISM AND CITRIC ACID (TCA) CYCLE	0.325243766514538	0.51519937887617	-1	ACO2,ADHFE1,BSG,CS,D2HGDH,DLAT,DLD,DLST,FH,GLO1,IDH2,IDH3A,IDH3B,IDH3G,L2HGDH,LDHA,LDHB,LDHC,MDH2,NNT,OGDH,PDHA1,PDHB,PDHX,PDK1,PDK2,PDK3,PDK4,PDP1,PDP2,PDPR,PPARD,RXRA,SDHA,SDHB,SDHC,SDHD,SLC16A1,SLC16A3,SLC16A8,SUCLA2,SUCLG1,SUCLG2
TGF-beta signaling pathway%KEGG%hsa04350	TGF-beta signaling pathway	0.325511743208782	0.515448839806167	1	ACVR1C,ACVR1,ACVR2A,ACVR2B,AMH,BMP2,BMP4,BMP6,BMP7,BMP8A,BMP8B,BMPR1A,BMPR1B,BMPR2,CDKN2B,CHRD,COMP,CREBBP,CUL1,DCN,E2F4,E2F5,EP300,FST,GDF5,GDF6,ID1,ID2,ID3,ID4,INHBA,INHBB,LTBP1,MAPK1,MAPK3,MYC,NOG,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,RBL1,RBL2,RBX1,RHOA,ROCK1,ROCK2,RPS6KB1,RPS6KB2,SKP1,SMAD1,SMAD2,SMAD3,SMAD4,SMAD5,SMAD6,SMAD7,SMAD9,SMURF1,SMURF2,SP1,TFDP1,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,THBS1,THBS2,THBS3,THBS4,TNF,ZFYVE16,ZFYVE9
BRANCHED-CHAIN AMINO ACID CATABOLIC PROCESS%GOBP%GO:0009083	BRANCHED-CHAIN AMINO ACID CATABOLIC PROCESS	0.326016353807138	0.515776653091292	-1	ACAD8,ACADSB,ACAT1,ALDH6A1,ALDH9A1,AUH,BBOX1,BCAT1,BCAT2,BCKDHA,BCKDHB,BCKDK,DBT,DLD,HIBADH,HIBCH,HMGCL,HSD17B10,IVD,MCCC1,MCCC2,PPM1K,SHMT1,TMLHE
OSTEOBLAST DIFFERENTIATION%GOBP%GO:0001649	OSTEOBLAST DIFFERENTIATION	0.326121613926415	0.515776653091292	1	ACHE,ALPL,ATP5B,BCAP29,BGLAP,BMP2,BMP4,CAT,CCDC47,CCL3,CLEC5A,CLTC,COL6A1,CREB3L1,DDX21,DHX9,DLX5,DNAJC13,EPHA2,FASN,FBL,FIGNL1,FZD1,GLI2,GTPBP4,HNRNPC,HNRNPU,HSD17B4,HSPE1,IARS,IBSP,ITGA11,LEF1,LGR4,LIMD1,LRP5,LRRC17,MEF2C,MEN1,MRC2,MSX2,MYBBP1A,NF1,NOG,PHB,PSMC2,PTHLH,RBMX,RDH14,RPS15,RRAS2,RRBP1,RSL1D1,RUNX2,SEMA7A,SFRP1,SNAI1,SNAI2,SND1,SNRNP200,SOX2,SYNCRIP,TNC,TPM4,VCAN
SIGNALING BY HIPPO%REACTOME%R-HSA-2028269.1	SIGNALING BY HIPPO	0.326158357368478	0.515776653091292	-1	AMOTL1,AMOTL2,CASP3,DVL2,LATS1,LATS2,NPHP4,SAV1,STK3,STK4,TJP1,TJP2,WWC1,WWTR1,YAP1,YWHAB,YWHAE
REGULATION OF DENDRITE MORPHOGENESIS%GOBP%GO:0048814	REGULATION OF DENDRITE MORPHOGENESIS	0.32627081960711	0.515776653091292	1	BHLHB9,CAMK2B,CAPRIN1,CAPRIN2,CDK5R1,CDK5,CDKL5,CFL1,CUL7,CUX1,EFNA1,EPHA4,FBXW8,GORASP1,LRP8,LRRK2,NEDD4,NGEF,NLGN1,OBSL1,PDLIM5,PTEN,PTPRD,RAP2A,RAPGEF2,RELN,SARM1,SDC2,SEMA4D,SIPA1L1,TNIK,YWHAH
NEUROTROPHIC FACTOR-MEDIATED TRK RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NEUROTROPHIC FACTOR-MEDIATED TRK RECEPTOR SIGNALING	NEUROTROPHIC FACTOR-MEDIATED TRK RECEPTOR SIGNALING	0.326299506111838	0.515776653091292	-1	ABL1,BDNF,CCND1,CDC42,CRKL,CRK,DNAJA3,DNM1,DOCK1,DYNLT1,EHD4,ELMO1,FAIM,FRS2,FRS3,GAB1,GAB2,GIPC1,GRB2,HRAS,KRAS,MAGED1,MAP2K1,MAPK1,MAPK3,MATK,MCF2L,NEDD4L,NGFR,NRAS,NTF3,NTF4,NTRK2,PIK3CA,PIK3R1,PLCG1,PRKCI,PRKCZ,PTPN11,RAC1,RAP1A,RAP1B,RAPGEF1,RASA1,RGS19,RHOA,RHOG,RIT1,SHC1,SHC2,SOS1,SQSTM1,STAT3,TIAM1
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.1	EUKARYOTIC TRANSLATION ELONGATION	0.326438082172145	0.515776653091292	1	EEF1A1,EEF1A2,EEF1B2,EEF1D,EEF1G,EEF2,FAU,RPL10A,RPL10,RPL11,RPL12,RPL13A,RPL13,RPL14,RPL15,RPL17,RPL18A,RPL18,RPL19,RPL22,RPL23A,RPL23,RPL24,RPL26L1,RPL26,RPL27A,RPL27,RPL28,RPL29,RPL30,RPL31,RPL32,RPL34,RPL35A,RPL35,RPL36A,RPL36,RPL37A,RPL37,RPL38,RPL39,RPL3,RPL41,RPL4,RPL5,RPL6,RPL7A,RPL7,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS15,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27A,RPS27,RPS28,RPS29,RPS2,RPS3A,RPS3,RPS4X,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,UBA52
REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION%GOBP%GO:0070507	REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION	0.326492702374831	0.515776653091292	-1	ABL1,APC,ARHGEF2,ARL2,ATF5,AURKA,AURKB,BECN1,BRCA1,CCNB1,CCNF,CDC42,CDK5RAP2,CENPJ,CEP250,CEP76,CHEK1,CHMP1A,CHMP1B,CHMP2A,CHMP2B,CHMP4B,CHMP4C,CHMP5,CIB1,CLASP1,CLASP2,CLIP1,CLIP3,CTNNB1,CYLD,ECT2,EFNA5,EML2,EPHA3,FES,FGF13,FKBP4,GAS2L1,GEN1,KATNB1,KIF11,MAPRE1,MAPT,MID1IP1,NEK2,NPM1,PARP3,PDCD6IP,PHLDB1,PHLDB2,PKHD1,PLK1,PLK2,PLK4,PSRC1,RAB6C,RACGAP1,RBM14,RCC2,RNF4,RPS3,SBDS,SENP6,SIRT2,SKA1,SKA2,SKA3,SLAIN2,SNCA,SPAG5,TBCD,TERF1,TMEM67,TPR,TPX2,TRIM37,TRPV4,VPS4B,XRCC3
CD40 CD40L SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CD40 CD40L SIGNALING	CD40 CD40L SIGNALING	0.32673599951151	0.515930364578789	-1	AKT1,BCL2L1,BIRC2,BIRC3,CBLB,CD40,JAK3,JUN,MAP2K4,MAP3K14,MAP3K1,MAPK10,MAPK11,MAPK14,MAPK8,MAPK9,MYC,NFKB1,NFKBIA,PIK3CA,PIK3CB,PIK3CG,PIK3R1,PIK3R6,RELA,STAT5A,TDP2,TNFAIP3,TRAF1,TRAF2,TRAF3,TRAF6
Notch signaling pathway%KEGG%hsa04330	Notch signaling pathway	0.326811195569201	0.515930364578789	-1	ADAM17,APH1A,CIR1,CREBBP,CTBP1,CTBP2,DLL1,DLL3,DLL4,DTX1,DTX2,DTX3L,DTX3,DTX4,DVL1,DVL2,DVL3,EP300,HDAC1,HDAC2,HES1,JAG1,JAG2,KAT2A,KAT2B,LFNG,MAML1,MAML2,MAML3,MFNG,NCOR2,NCSTN,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NUMBL,NUMB,PSEN1,PSEN2,PSENEN,RBPJ,RFNG,SNW1
CLASS I PI3K SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CLASS I PI3K SIGNALING EVENTS	CLASS I PI3K SIGNALING EVENTS	0.327274633412419	0.516179302361592	-1	ADAP1,ARAP3,ARF1,ARF5,ARF6,BLNK,BTK,CYTH1,CYTH2,CYTH3,DAPP1,FGR,FOXO3,FYN,HCK,HRAS,HSP90AA1,INPPL1,ITK,KRAS,LAT,LCK,LYN,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CG,PIK3R1,PIK3R6,PLCG1,PLCG2,PLEKHA1,PTEN,RAC1,RAP1A,RHOA,SGK1,SRC,SYK,YES1,ZAP70
DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009264	DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS	0.327405529653059	0.516179302361592	-1	DERA,DUT,MBD4,MPG,MUTYH,NEIL1,NEIL2,NT5C,NT5M,NTHL1,NUDT15,NUDT16,NUDT18,NUDT1,OGG1,SAMHD1,SMUG1,TDG,UNG
G1 S DNA DAMAGE CHECKPOINTS%REACTOME%R-HSA-69615.1	G1 S DNA DAMAGE CHECKPOINTS	0.327440769153389	0.516179302361592	-1	ATM,CCNE1,CCNE2,CDC25A,CDK2,CDKN1A,CDKN1B,CHEK1,CHEK2,MDM2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RFWD2,RPS27A,TP53,UBA52,UBB,UBC
DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 55%69002	DNA REPLICATION PRE-INITIATION	0.327522129687098	0.516179302361592	-1	CDC45,CDC6,CDC7,CDK2,CDT1,DBF4,E2F1,E2F2,E2F3,GMNN,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,POLA1,POLA2,POLE2,POLE,PRIM1,PRIM2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPA1,RPA2,RPA3,RPS27A,UBA52,UBB,UBC
M G1 TRANSITION%REACTOME%R-HSA-68874.1	M G1 TRANSITION	0.327522129687098	0.516179302361592	-1	CDC45,CDC6,CDC7,CDK2,CDT1,DBF4,E2F1,E2F2,E2F3,GMNN,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,POLA1,POLA2,POLE2,POLE,PRIM1,PRIM2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPA1,RPA2,RPA3,RPS27A,UBA52,UBB,UBC
NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002695	NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION	0.327678764615332	0.516251751749585	1	ANXA1,ATM,BMP4,BTN2A2,CCR2,CD274,CD300A,CD84,CDKN2A,CEBPB,CTLA4,DUSP3,FER,FOXJ1,FOXP3,GLI3,GLMN,HFE,HLA-DRB1,HLA-G,IL10,INHA,INHBA,IRF1,JAK3,KIAA0922,LAX1,LGALS3,LGALS9,LILRB1,LILRB2,LST1,LYN,MICA,MNDA,NR1H3,PDCD1LG2,PIBF1,PRKAR1A,PRNP,PTPN22,PTPN2,RC3H1,SAMSN1,SFRP1,SFTPD,SLA2,SOCS5,SOX11,THOC1,TIGIT,TNFAIP3,TNFAIP8L2,TNFRSF21,TNFSF4,XCL1,ZC3H12A,ZC3H8
CILIUM ORGANIZATION%GOBP%GO:0044782	CILIUM ORGANIZATION	0.327950334687594	0.516437723902368	-1	ABLIM1,ABLIM3,ACTR2,AHI1,ARL13B,ARL6,ARMC4,ATP6V0D1,ATP6V1D,B9D1,B9D2,BBS10,BBS1,BBS2,BBS4,BBS5,BBS7,BBS9,C2CD3,C5orf42,CC2D2A,CCDC103,CCDC113,CCDC114,CCDC13,CCDC151,CCDC28B,CCDC40,CCNO,CDC14A,CEP164,CEP250,CEP290,CLUAP1,CSNK1D,DISC1,DMD,DNAH1,DNAH5,DNAH7,DYNC2LI1,DYX1C1,DZIP1L,DZIP1,E2F4,EHD1,EHD3,FAM161A,FBF1,FLNA,FNBP1L,FOXJ1,FUZ,HSPB11,ICK,IFT122,IFT140,IFT172,IFT20,IFT27,IFT46,IFT57,IFT74,IFT80,IFT81,INTU,IQCB1,KIAA0586,KIF24,KIF27,KIF3A,LRRC6,MKKS,MKS1,NEK1,OCRL,PCM1,PCNT,PIBF1,PKHD1,POC1B,RAB17,RAB1A,RAB23,RAB3IP,RAB8A,RAB8B,RFX3,RP1,RPGR,RSPH1,RSPH4A,SCLT1,SEPT2,SNAP29,SNX10,SPAG16,SPAG1,SPATA6,SSX2IP,STK36,TCTN2,TMEM107,TMEM138,TMEM17,TMEM216,TMEM231,TMEM67,TOPORS,TRAF3IP1,TRIM59,TTBK2,TTC17,TTC21A,TTC21B,TTC26,TTC30A,TTC30B,TTC8,TTLL3,VANGL2,WDR19,WDR35,ZMYND10
NEGATIVE REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051784	NEGATIVE REGULATION OF NUCLEAR DIVISION	0.328018215631879	0.516437723902368	-1	ANAPC10,ANAPC11,ANAPC1,ANAPC2,ANAPC4,ANAPC5,ANAPC7,APC,ATM,AURKAIP1,BMP4,BMP7,BUB1B,BUB1,BUB3,CDC16,CDC20,CDC23,CDC26,CDC27,CENPF,CHEK1,CSNK2A1,CSNK2A2,FBXO43,FBXO5,KLHL22,MAD1L1,MAD2L1,MAD2L2,MSH2,NME6,PLK1,PTTG1,RAD1,TERF1,TOM1L1,TOM1L2,TPR,TTK,UBE2C,UBE2D1,UBE2E1,ZNF207,ZW10
Other glycan degradation%KEGG%hsa00511	Other glycan degradation	0.328624716900281	0.517218051396697	-1	AGA,ENGASE,FUCA1,FUCA2,GBA,GLB1,HEXA,HEXB,HEXDC,MAN2B1,MAN2B2,MAN2C1,MANBA,NEU1,NEU3,NEU4
CDT1 ASSOCIATION WITH THE CDC6:ORC:ORIGIN COMPLEX%REACTOME%R-HSA-68827.1	CDT1 ASSOCIATION WITH THE CDC6:ORC:ORIGIN COMPLEX	0.329181133792303	0.517919051986877	-1	CDC6,CDT1,GMNN,MCM8,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,RPS27A,UBA52,UBB,UBC
HDR THROUGH HOMOLOGOUS RECOMBINATION (HR) OR SINGLE STRAND ANNEALING (SSA)%REACTOME DATABASE ID RELEASE 55%5693567	HDR THROUGH HOMOLOGOUS RECOMBINATION (HR) OR SINGLE STRAND ANNEALING (SSA)	0.329317586508701	0.51795904958297	-1	ABL1,ATM,ATRIP,ATR,BARD1,BLM,BRCA1,BRCA2,BRCC3,BRE,BRIP1,CCNA1,CCNA2,CDK2,CHEK1,CLSPN,DNA2,EME1,EME2,ERCC1,ERCC4,EXO1,FAM175A,GEN1,H2AFX,HERC2,HIST1H2BC,HIST1H2BD,HIST1H2BG,HIST1H2BJ,HIST1H2BK,HIST1H2BN,HIST1H4C,HIST1H4H,HIST1H4J,HIST2H2BE,HIST2H4A,HUS1,KAT5,MDC1,MRE11A,MUS81,NBN,PALB2,PCNA,PIAS4,POLD1,POLD2,POLD3,POLD4,POLE2,POLE,POLH,POLK,PPP4C,PPP4R2,RAD17,RAD1,RAD50,RAD51AP1,RAD51C,RAD51,RAD52,RAD9A,RAD9B,RBBP8,RFC1,RFC2,RFC3,RFC4,RFC5,RMI1,RNF168,RNF4,RNF8,RPA1,RPA2,RPA3,RPS27A,RTEL1,SIRT6,SUMO1,SUMO2,TIMELESS,TIPIN,TOP3A,TOPBP1,TP53BP1,UBA52,UBB,UBC,UBE2I,UBE2N,UBE2V2,UIMC1,WHSC1,WRN,XRCC2,XRCC3
